customer_id,customer_name,segment,region,join_date,email
C00045,Customer_45,Wholesale,west,2021-07-27,customer45@example.com
C00046,Customer_46,Corporate,south,2021-09-04,customer46@example.com
C00047,Customer_47,Wholesale,central,2022-02-08,customer47@example.com
C00048,Customer_48,Wholesale,south,2021-06-01,customer48@example.com
C00049,Customer_49,Online,east,2021-02-23,customer49@example.com
C00050,Customer_50,Online,east,2024-02-18,customer50@example.com
C00051,Customer_51,Online,east,2022-09-20,customer51@example.com
C00052,Customer_52,Retail,east,2022-08-10,customer52@example.com
C00053,Customer_53,Retail,west,2021-04-14,customer53@example.com
C00054,Customer_54,Online,central,2021-09-11,customer54@example.com
C00055,Customer_55,Online,south,2024-04-06,customer55@example.com
C00056,Customer_56,Online,south,2024-02-10,customer56@example.com
C00057,Customer_57,Retail,east,2022-05-25,customer57@example.com
C00058,Customer_58,Online,east,2021-09-04,customer58@example.com
C00059,Customer_59,Online,north,2021-06-02,customer59@example.com
C00060,Customer_60,Retail,east,2023-07-03,customer60@example.com
C00061,Customer_61,Retail,west,2023-05-28,customer61@example.com
C00062,Customer_62,Wholesale,south,2021-12-04,customer62@example.com
C00063,Customer_63,Wholesale,north,2023-04-02,customer63@example.com
C00064,Customer_64,Retail,north,2024-04-01,customer64@example.com
C00065,Customer_65,Retail,east,2023-08-15,customer65@example.com
C00066,Customer_66,Retail,west,2021-06-10,customer66@example.com
C00067,Customer_67,Retail,east,2023-12-03,customer67@example.com
C00068,Customer_68,Corporate,north,2022-02-02,customer68@example.com
C00069,Customer_69,Online,central,2024-07-24,customer69@example.com
C00070,Customer_70,Retail,west,2023-03-27,customer70@example.com
C00071,Customer_71,Corporate,east,2024-03-04,customer71@example.com
C00072,Customer_72,Online,west,2024-05-03,customer72@example.com
C00073,Customer_73,Wholesale,south,2022-02-05,customer73@example.com
C00074,Customer_74,Wholesale,east,2022-02-10,customer74@example.com
C00075,Customer_75,Retail,east,2023-11-23,customer75@example.com
C00076,Customer_76,Retail,central,2022-11-19,customer76@example.com
C00077,Customer_77,Online,south,2022-05-04,customer77@example.com
C00078,Customer_78,Online,west,2023-08-13,customer78@example.com
C00079,Customer_79,Retail,south,2022-04-15,customer79@example.com
C00080,Customer_80,Corporate,north,2024-10-30,customer80@example.com
C00081,Customer_81,Online,west,2023-11-12,customer81@example.com
C00082,Customer_82,Retail,east,2023-01-20,customer82@example.com
C00083,Customer_83,Corporate,south,2021-02-07,customer83@example.com
C00084,Customer_84,Corporate,north,2021-08-18,customer84@example.com
C00085,Customer_85,Corporate,central,2024-10-20,customer85@example.com
C00086,Customer_86,Retail,west,2022-07-17,customer86@example.com
C00087,Customer_87,Online,east,2022-03-14,customer87@example.com
C00088,Customer_88,Wholesale,south,2024-07-30,customer88@example.com
C00089,Customer_89,Online,east,2021-01-27,customer89@example.com
C00090,Customer_90,Corporate,south,2021-08-14,customer90@example.com
C00091,Customer_91,Online,central,2024-07-24,customer91@example.com
C00092,Customer_92,Online,south,2023-03-09,customer92@example.com
C00093,Customer_93,Online,north,2021-10-11,customer93@example.com
C00094,Customer_94,Online,south,2023-05-29,customer94@example.com
C00095,Customer_95,Wholesale,central,2023-08-18,customer95@example.com
C00096,Customer_96,Retail,central,2022-03-29,customer96@example.com
C00097,Customer_97,Retail,west,2023-10-17,customer97@example.com
C00098,Customer_98,Online,east,2023-03-27,customer98@example.com
C00099,Customer_99,Retail,north,2022-10-21,customer99@example.com
C00100,Customer_100,Wholesale,east,2022-01-07,customer100@example.com
C00101,Customer_101,Retail,east,2024-04-30,customer101@example.com
C00102,Customer_102,Online,central,2023-12-09,customer102@example.com
C00103,Customer_103,Online,west,2021-01-17,customer103@example.com
C00104,Customer_104,Online,south,2024-04-10,customer104@example.com
C00105,Customer_105,Retail,west,2024-05-28,customer105@example.com
C00106,Customer_106,Corporate,west,2021-06-07,customer106@example.com
C00107,Customer_107,Online,east,2022-04-22,customer107@example.com
C00108,Customer_108,Retail,west,2023-12-06,customer108@example.com
C00109,Customer_109,Retail,north,2024-10-28,customer109@example.com
C00110,Customer_110,Wholesale,east,2022-02-06,customer110@example.com
C00111,Customer_111,Retail,north,2021-09-04,customer111@example.com
C00112,Customer_112,Online,south,2023-11-27,customer112@example.com
C00113,Customer_113,Retail,east,2021-10-07,customer113@example.com
C00114,Customer_114,Retail,south,2024-10-04,customer114@example.com
C00115,Customer_115,Wholesale,east,2022-05-12,customer115@example.com
C00116,Customer_116,Retail,central,2021-10-29,customer116@example.com
C00117,Customer_117,Wholesale,west,2021-06-30,customer117@example.com
C00118,Customer_118,Online,central,2022-08-30,customer118@example.com
C00119,Customer_119,Online,south,2024-01-28,customer119@example.com
C00120,Customer_120,Online,west,2022-12-01,customer120@example.com
C00121,Customer_121,Online,east,2023-09-20,customer121@example.com
C00122,Customer_122,Online,west,2024-02-14,customer122@example.com
C00123,Customer_123,Online,north,2021-07-10,customer123@example.com
C00124,Customer_124,Retail,west,2021-09-10,customer124@example.com
C00125,Customer_125,Wholesale,north,2023-09-08,customer125@example.com
C00126,Customer_126,Wholesale,west,2023-07-17,customer126@example.com
C00127,Customer_127,Retail,south,2024-03-30,customer127@example.com
C00128,Customer_128,Wholesale,south,2024-07-03,customer128@example.com
C00129,Customer_129,Wholesale,central,2024-09-08,customer129@example.com
C00130,Customer_130,Online,east,2021-05-08,customer130@example.com
C00131,Customer_131,Corporate,west,2021-01-18,customer131@example.com
C00132,Customer_132,Online,central,2022-07-20,customer132@example.com
C00133,Customer_133,Retail,east,2022-07-24,customer133@example.com
C00134,Customer_134,Retail,east,2024-09-08,customer134@example.com
C00135,Customer_135,Corporate,north,2022-11-17,customer135@example.com
C00136,Customer_136,Corporate,south,2022-09-18,customer136@example.com
 c00137 ,Customer_137,Retail,south,2024-04-08,customer137@example.com
C00138,Customer_138,Online,central,2023-05-04,customer138@example.com
C00139,Customer_139,Retail,south,2023-08-20,customer139@example.com
C00140,Customer_140,Retail,west,2021-06-04,customer140@example.com
C00141,Customer_141,Retail,south,2022-05-05,customer141@example.com
C00142,Customer_142,Retail,central,2023-02-24,customer142@example.com
C00143,Customer_143,Corporate,south,2024-02-02,customer143@example.com
C00144,Customer_144,Online,west,2021-09-04,customer144@example.com
 c00145 ,Customer_145,Retail,north,2024-04-14,customer145@example.com
C00146,Customer_146,Online,central,2023-11-29,customer146@example.com
C00147,Customer_147,Retail,north,2023-01-29,customer147@example.com
 c00148 ,Customer_148,Corporate,north,2022-06-22,customer148@example.com
C00149,Customer_149,Retail,north,2023-10-07,customer149@example.com
C00150,Customer_150,Retail,east,2022-02-12,customer150@example.com
C00151,Customer_151,Retail,east,2022-09-06,customer151@example.com
C00152,Customer_152,Retail,north,2023-04-08,customer152@example.com
C00153,Customer_153,Retail,central,2023-06-22,customer153@example.com
C00154,Customer_154,Online,west,2021-02-05,customer154@example.com
C00155,Customer_155,Retail,west,2022-11-16,customer155@example.com
C00156,Customer_156,Retail,south,2021-01-20,customer156@example.com
C00157,Customer_157,Retail,central,2021-11-17,customer157@example.com
C00158,Customer_158,Retail,east,2022-05-27,customer158@example.com
C00159,Customer_159,Retail,north,2022-02-04,customer159@example.com
C00160,Customer_160,Wholesale,south,2022-10-16,customer160@example.com
C00161,Customer_161,Retail,west,2023-08-30,customer161@example.com
C00162,Customer_162,Retail,north,2022-04-16,customer162@example.com
C00163,Customer_163,Retail,east,2024-03-12,customer163@example.com
C00164,Customer_164,Online,north,2024-01-21,customer164@example.com
C00165,Customer_165,Retail,west,2024-10-09,customer165@example.com
C00166,Customer_166,Retail,central,2023-04-14,customer166@example.com
C00167,Customer_167,Retail,east,2022-12-28,customer167@example.com
C00168,Customer_168,Corporate,north,2023-05-04,customer168@example.com
C00169,Customer_169,Wholesale,central,2021-02-20,customer169@example.com
C00170,Customer_170,Online,west,2022-07-29,customer170@example.com
C00171,Customer_171,Corporate,east,2024-04-28,customer171@example.com
C00172,Customer_172,Retail,central,2024-02-23,customer172@example.com
C00173,Customer_173,Online,central,2021-05-30,customer173@example.com
C00174,Customer_174,Retail,central,2021-11-10,customer174@example.com
C00175,Customer_175,Retail,east,2022-07-24,customer175@example.com
C00176,Customer_176,Wholesale,east,2024-09-27,customer176@example.com
C00177,Customer_177,Online,south,2021-11-01,customer177@example.com
C00178,Customer_178,Wholesale,west,2022-11-13,customer178@example.com
C00179,Customer_179,Corporate,north,2023-04-18,customer179@example.com
C00180,Customer_180,Retail,central,2023-12-14,customer180@example.com
C00181,Customer_181,Online,south,2023-09-30,customer181@example.com
C00182,Customer_182,Retail,north,2022-03-20,customer182@example.com
C00183,Customer_183,Online,south,2022-09-05,customer183@example.com
C00184,Customer_184,Online,east,2023-09-20,customer184@example.com
C00185,Customer_185,Retail,central,2021-09-21,customer185@example.com
C00186,Customer_186,Retail,north,2023-12-13,customer186@example.com
C00187,Customer_187,Retail,north,2023-10-01,customer187@example.com
C00188,Customer_188,Retail,north,2021-01-05,customer188@example.com
C00189,Customer_189,Retail,north,2024-02-01,customer189@example.com
C00190,Customer_190,Online,north,2024-04-05,customer190@example.com
C00191,Customer_191,Wholesale,south,2023-02-13,customer191@example.com
C00192,Customer_192,Retail,central,2023-05-27,customer192@example.com
C00193,Customer_193,Corporate,east,2023-09-19,customer193@example.com
C00194,Customer_194,Online,east,2023-06-03,customer194@example.com
C00195,Customer_195,Online,east,2024-10-05,customer195@example.com
C00196,Customer_196,Online,east,2021-02-16,customer196@example.com
C00197,Customer_197,Retail,south,2021-09-04,customer197@example.com
C00198,Customer_198,Retail,west,2023-04-03,customer198@example.com
C00199,Customer_199,Retail,central,2023-07-25,customer199@example.com
C00200,Customer_200,Retail,north,2022-10-18,customer200@example.com
C00201,Customer_201,Retail,west,2021-09-26,customer201@example.com
C00202,Customer_202,Retail,east,2022-01-05,customer202@example.com
C00203,Customer_203,Online,west,2022-09-28,customer203@example.com
C00204,Customer_204,Online,central,2024-02-04,customer204@example.com
C00205,Customer_205,Retail,north,2022-10-19,customer205@example.com
C00206,Customer_206,Retail,north,2021-04-30,customer206@example.com
C00207,Customer_207,Retail,central,2023-04-11,customer207@example.com
C00208,Customer_208,Wholesale,central,2023-12-18,customer208@example.com
C00209,Customer_209,Wholesale,east,2024-01-10,customer209@example.com
C00210,Customer_210,Online,north,2023-01-11,customer210@example.com
C00211,Customer_211,Retail,west,2021-04-27,customer211@example.com
C00212,Customer_212,Online,south,2023-02-03,customer212@example.com
C00213,Customer_213,Corporate,south,2024-02-25,customer213@example.com
C00214,Customer_214,Retail,central,2023-10-10,customer214@example.com
C00215,Customer_215,Online,east,2023-12-18,customer215@example.com
C00216,Customer_216,Online,south,2022-09-26,customer216@example.com
C00217,Customer_217,Wholesale,north,2022-05-28,customer217@example.com
C00218,Customer_218,Wholesale,central,2023-03-13,customer218@example.com
C00219,Customer_219,Online,west,2024-01-25,customer219@example.com
C00220,Customer_220,Online,east,2024-02-16,customer220@example.com
C00221,Customer_221,Online,west,2022-07-14,customer221@example.com
C00222,Customer_222,Corporate,central,2022-05-03,customer222@example.com
C00223,Customer_223,Online,central,2024-06-14,customer223@example.com
C00224,Customer_224,Corporate,central,2023-06-16,customer224@example.com
C00225,Customer_225,Online,south,2024-07-19,customer225@example.com
C00226,Customer_226,Online,west,2024-04-27,customer226@example.com
C00227,Customer_227,Online,central,2022-12-05,customer227@example.com
C00228,Customer_228,Retail,south,2022-08-04,customer228@example.com
C00229,Customer_229,Online,east,2023-03-01,customer229@example.com
C00230,Customer_230,Wholesale,east,2023-05-11,customer230@example.com
C00231,Customer_231,Wholesale,north,2021-09-04,customer231@example.com
C00232,Customer_232,Corporate,west,2024-01-05,customer232@example.com
C00233,Customer_233,Retail,west,2021-06-03,customer233@example.com
C00234,Customer_234,Wholesale,east,2023-09-24,customer234@example.com
C00235,Customer_235,Online,east,2024-01-15,customer235@example.com
C00236,Customer_236,Online,east,2022-11-28,customer236@example.com
C00237,Customer_237,Wholesale,central,2024-01-08,customer237@example.com
C00238,Customer_238,Retail,west,2024-05-28,customer238@example.com
C00239,Customer_239,Online,east,2023-12-29,customer239@example.com
C00240,Customer_240,Retail,south,2023-07-12,customer240@example.com
C00241,Customer_241,Retail,south,2023-10-06,customer241@example.com
C00242,Customer_242,Online,east,2021-09-04,customer242@example.com
C00243,Customer_243,Retail,west,2023-08-16,customer243@example.com
C00244,Customer_244,Retail,south,2023-10-09,customer244@example.com
C00245,Customer_245,Online,central,2022-03-29,customer245@example.com
C00246,Customer_246,Retail,south,2024-05-12,customer246@example.com
C00247,Customer_247,Wholesale,north,2023-07-01,customer247@example.com
C00248,Customer_248,Wholesale,north,2021-08-06,customer248@example.com
C00249,Customer_249,Online,west,2022-04-19,customer249@example.com
C00250,Customer_250,Wholesale,north,2022-03-08,customer250@example.com
 c00102 ,Customer_102,Online,central,2023-12-09,customer102@example.com
